x,y,z
x,y,z
29.9301,30.1904,-73.9337,
30.2723,29.9775,-74.0004,
29.1421,30.5161,-73.9335,
30.7676,29.6446,-73.9728,
29.5809,30.2229,-74.0269,
32.2898,28.8016,-74.2224,
31.1291,29.3325,-74.0534,
32.6526,28.4763,-74.3076,
29.9751,29.8705,-73.9744,
28.7533,30.4858,-73.9748,
30.4066,29.6151,-73.9972,
31.4576,29.052,-74.1034,
31.9094,28.8042,-74.2213,
29.2245,30.2083,-74.0295,
30.8098,29.32,-74.0579,
29.6339,29.9268,-74.0271,
32.3437,28.4321,-74.1734,
29.6972,29.7882,-73.9272,
31.1854,29.0004,-74.0469,
28.9734,30.1301,-73.9242,
31.5707,28.7465,-74.1902,
30.0205,29.5412,-73.9728,
29.3758,29.8473,-73.9915,
30.4528,29.2805,-74.0951,
31.9536,28.4469,-74.2008,
30.8611,28.9533,-74.0617,
28.6048,30.1098,-73.9924,
29.7765,29.4571,-73.9432,
31.2143,28.6847,-74.1457,
32.3699,28.0491,-74.1767,
28.9956,29.806,-73.9894,
30.0726,29.2337,-74.0686,
31.62,28.3702,-74.178,
30.5132,28.9057,-74.1069,
29.4109,29.4717,-74.01,
32.0283,28.0542,-74.2148,
30.8747,28.6288,-74.1519,
28.6598,29.7156,-74.0101,
31.2801,28.3379,-74.1873,
32.4527,27.6975,-74.1601,
29.029,29.483,-74.1234,
29.7011,29.1187,-74.0096,
30.1389,28.873,-74.1283,
31.6693,28.0273,-74.2012,
28.3342,29.7076,-73.99,
29.5241,29.0452,-73.937,
30.5378,28.5065,-74.1272,
32.0792,27.6915,-74.1943,
30.9325,28.2737,-74.1806,
29.7838,28.8109,-74.0412,
31.3451,27.9799,-74.2353,
28.6925,29.363,-74.081,
29.0914,29.1108,-74.0908,
30.2289,28.4825,-74.1811,
29.5268,28.8147,-74.051,
31.6888,27.6798,-74.1839,
28.3694,29.3682,-74.0591,
30.5741,28.2131,-74.1461,
31.3502,27.7684,-74.2838,
32.1217,27.3163,-74.1626,
29.8997,28.4752,-74.1412,
30.9712,27.8988,-74.1435,
28.7333,29.0104,-74.1003,
30.2534,28.1572,-74.1661,
29.1362,28.7144,-74.1689,
29.52,28.4635,-74.1543,
31.7752,27.2776,-74.1392,
30.6521,27.8598,-74.2219,
28.4079,28.9945,-74.0917,
31.0457,27.5932,-74.2522,
29.9723,28.0724,-74.1296,
28.8158,28.6156,-74.0871,
31.4378,27.237,-74.1935,
30.2723,27.8336,-74.2135,
31.8181,26.9633,-74.2595,
28.0842,28.9127,-73.9903,
29.5765,28.1106,-74.2007,
29.1396,28.3112,-74.0999,
28.4751,28.652,-74.146,
28.6794,31.2177,-73.8005,
28.3189,31.1853,-73.8949,
28.6975,30.8393,-73.8685,
28.0312,31.0326,-73.904,
27.6379,31.2216,-73.9356,
28.4016,30.7928,-74.0494,
28.113,30.8201,-73.9551,
27.6866,31.0068,-73.8824,
27.2469,31.1627,-73.8469,
28.4305,30.5338,-73.9879,
27.6838,30.799,-73.948,
28.0996,30.5375,-73.9445,
28.4946,30.1776,-73.9813,
27.2419,30.8007,-73.8578,
27.7641,30.4917,-74.0239,
26.242,31.1376,-74.1262,
26.1484,31.1769,-74.4205,
28.0728,30.1565,-73.9186,
28.2669,30.0325,-73.9363,
27.2632,30.439,-73.8397,
27.671,30.1435,-73.8802,
25.8568,31.0857,-74.019,
27.9158,29.9984,-73.9191,
26.8427,30.4194,-73.8763,
27.2706,30.0887,-73.9204,
25.3079,31.077,-73.9459,
26.5182,30.4259,-74.1311,
27.9287,29.6844,-74.0337,
25.8248,30.7325,-74.047,
26.8944,30.0685,-73.9393,
24.9682,31.0406,-73.97,
27.3027,29.7318,-73.9988,
27.9887,29.3679,-74.092,
25.4952,30.6669,-74.0393,
26.5333,30.0667,-73.9585,
24.6927,31.0119,-74.0908,
27.7386,29.4114,-74.1409,
25.8606,30.385,-74.0627,
26.9875,29.7038,-74.0794,
25.0888,30.6501,-74.0754,
23.9562,31.2218,-74.2608,
26.1817,30.0586,-74.0043,
24.3223,30.9868,-74.1346,
25.4358,30.3413,-74.0128,
26.6267,29.6902,-74.0576,
24.7437,30.6414,-74.1699,
27.0041,29.4306,-73.9908,
25.8376,30.0186,-74.0869,
40.1706,22.4418,-73.9858,
40.7675,22.1238,-73.6913,
40.4001,21.9876,-73.9248,
40.1728,22.0969,-73.9097,
40.8296,21.7474,-73.7434,
40.5057,21.6618,-73.89,
40.1916,21.6638,-73.8308,
39.8764,21.7256,-74.099,
40.5209,21.3356,-73.8123,
40.5604,21.032,-73.6533,
39.9012,21.3607,-74.1184,
39.6018,21.3494,-74.284,
39.9332,21.0683,-74.175,
40.1996,20.8772,-73.9315,
40.5683,20.6905,-73.5752,
40.2666,20.8119,-73.7986,
39.6266,21.0929,-74.22,
39.9011,20.7144,-73.8876,
40.1111,20.3486,-73.6596,
39.4399,20.6315,-73.8416,
39.8068,20.3588,-73.7499,
39.4796,20.2946,-73.8526,
39.7696,19.9753,-73.6584,
39.0836,20.2705,-73.8518,
40.8683,19.3002,-73.5545,
39.4421,19.9457,-73.772,
39.7612,19.5926,-73.5842,
39.0942,19.9157,-73.8582,
40.8842,18.9525,-73.5345,
39.3789,19.5755,-73.6261,
39.7827,19.232,-73.6031,
38.9996,19.5123,-73.7271,
39.4437,19.2333,-73.621,
39.8042,19.0025,-73.5261,
38.7046,19.5206,-73.7642,
39.0334,19.2265,-73.6989,
41.0797,18.1001,-73.5173,
40.8783,18.204,-73.5345,
38.6777,19.2423,-73.8075,
40.2156,18.3419,-73.5184,
39.0547,18.8617,-73.6751,
38.7881,18.8648,-73.9182,
39.3772,18.5279,-73.5251,
39.8747,18.1519,-73.5623,
39.0657,18.5266,-73.6837,
38.3425,18.8505,-73.7756,
39.4758,18.1545,-73.5597,
38.7509,18.5139,-73.8188,
39.714,17.9495,-73.5304,
38.4831,18.487,-74.0322,
39.0624,18.1706,-73.619,
39.4452,17.9004,-73.553,
38.7391,18.2,-73.8305,
39.1436,17.8589,-73.671,
38.4649,18.152,-73.9599,
38.9871,23.1083,-74.7439,
36.6428,24.3347,-74.4831,
37.7219,23.7131,-74.407,
36.0852,24.5523,-74.422,
39.4987,22.7438,-74.1934,
37.0046,24.04,-74.4202,
39.2609,22.8433,-75.0923,
39.908,22.4595,-74.1254,
36.3555,24.3061,-74.4602,
38.0773,23.3784,-74.3731,
37.3538,23.7063,-74.4168,
38.5247,23.0794,-74.5589,
36.6604,23.9907,-74.4452,
37.757,23.4175,-74.4234,
36.0848,24.2635,-74.4685,
39.6005,22.4033,-74.2269,
36.9871,23.7343,-74.4371,
38.7254,22.7573,-74.5406,
38.1298,23.0237,-74.5461,
36.7124,23.7467,-74.428,
39.2023,22.42,-74.2671,
37.3794,23.3679,-74.4371,
39.8287,22.0571,-73.9746,
36.1053,23.9091,-74.4802,
39.5392,22.0773,-74.1992,
36.9707,23.3703,-74.3212,
38.876,22.3707,-74.4146,
36.3025,23.678,-74.4638,
35.7547,23.8569,-74.5921,
39.2445,22.0311,-74.2729,
37.5728,22.8888,-74.2418,
36.6123,23.3861,-74.3859,
38.4398,22.3463,-74.2643,
37.2486,22.9588,-74.1533,
37.8289,22.6167,-74.1005,
39.4689,21.6878,-74.0027,
36.2255,23.3567,-74.3836,
38.7791,22.0103,-74.2076,
36.8991,22.9781,-74.1792,
37.3438,22.747,-74.0584,
38.0378,22.3501,-74.2158,
