,NodeTag,x,y,z
135,135,-21.9233000000055,-32.7782,0
136,136,-20.9233000000082,-32.7782,0
137,137,-19.923300000011,-32.7782,0
138,138,-18.9233000000137,-32.7782,0
139,139,-17.9233000000164,-32.7782,0
140,140,-16.9233000000192,-32.7782,0
141,141,-15.9233000000219,-32.7782,0
142,142,-14.9233000000246,-32.7782,0
143,143,-13.9233000000274,-32.7782,0
144,144,-12.9233000000301,-32.7782,0
145,145,-11.9233000000328,-32.7782,0
146,146,-10.9233000000356,-32.7782,0
147,147,-9.9233000000383,-32.7782,0
148,148,-8.92330000004103,-32.7782,0
149,149,-7.92330000004377,-32.7782,0
150,150,-6.9233000000465,-32.7782,0
151,151,-5.92330000004924,-32.7782,0
152,152,-4.92330000005197,-32.7782,0
153,153,-3.92330000005471,-32.7782,0
154,154,-2.92330000005744,-32.7782,0
155,155,-1.92330000006018,-32.7782,0
156,156,-0.923300000062913,-32.7782,0
157,157,0.0766999999343554,-32.7782,0
158,158,1.07669999993162,-32.7782,0
159,159,2.07669999992888,-32.7782,0
160,160,3.07669999992615,-32.7782,0
161,161,4.07669999992342,-32.7782,0
162,162,5.07669999992068,-32.7782,0
163,163,6.07669999991795,-32.7782,0
164,164,7.07669999991521,-32.7782,0
165,165,8.07669999991317,-32.7782,0
166,166,9.0766999999153,-32.7782,0
167,167,10.0766999999181,-32.7782,0
168,168,11.0766999999209,-32.7782,0
169,169,12.0766999999238,-32.7782,0
170,170,13.0766999999266,-32.7782,0
171,171,14.0766999999294,-32.7782,0
172,172,15.0766999999322,-32.7782,0
173,173,16.0766999999351,-32.7782,0
174,174,17.0766999999379,-32.7782,0
175,175,18.0766999999407,-32.7782,0
176,176,19.0766999999435,-32.7782,0
177,177,20.0766999999463,-32.7782,0
178,178,21.0766999999492,-32.7782,0
179,179,22.076699999952,-32.7782,0
180,180,23.0766999999548,-32.7782,0
181,181,24.0766999999576,-32.7782,0
182,182,25.0766999999605,-32.7782,0
183,183,26.0766999999633,-32.7782,0
184,184,27.0766999999661,-32.7782,0
185,185,28.0766999999689,-32.7782,0
186,186,29.0766999999717,-32.7782,0
187,187,30.0766999999746,-32.7782,0
188,188,31.0766999999774,-32.7782,0
189,189,32.0766999999802,-32.7782,0
190,190,33.076699999983,-32.7782,0
191,191,34.0766999999858,-32.7782,0
192,192,35.0766999999887,-32.7782,0
193,193,36.0766999999915,-32.7782,0
194,194,37.0766999999943,-32.7782,0
195,195,38.0766999999971,-32.7782,0
196,196,39.0767,-32.7782,0
197,197,40.0767,-31.7781999999987,0
198,198,40.0767,-30.7782000000015,0
199,199,40.0767,-29.7782000000044,0
200,200,40.0767,-28.7782000000072,0
201,201,40.0767,-27.77820000001,0
202,202,40.0767,-26.7782000000129,0
203,203,40.0767,-25.7782000000157,0
204,204,40.0767,-24.7782000000186,0
205,205,40.0767,-23.7782000000214,0
206,206,40.0767,-22.7782000000243,0
207,207,40.0767,-21.7782000000271,0
208,208,40.0767,-20.7782000000299,0
209,209,40.0767,-19.7782000000328,0
210,210,40.0767,-18.7782000000356,0
211,211,40.0767,-17.7782000000385,0
212,212,40.0767,-16.7782000000413,0
213,213,40.0767,-15.7782000000441,0
214,214,40.0767,-14.778200000047,0
215,215,40.0767,-13.7782000000498,0
216,216,40.0767,-12.7782000000527,0
217,217,40.0767,-11.7782000000555,0
218,218,40.0767,-10.7782000000583,0
219,219,40.0767,-9.77820000006118,0
220,220,40.0767,-8.77820000006402,0
221,221,40.0767,-7.77820000006686,0
222,222,40.0767,-6.7782000000697,0
223,223,40.0767,-5.77820000007254,0
224,224,40.0767,-4.77820000007538,0
225,225,40.0767,-3.77820000007822,0
226,226,40.0767,-2.77820000008105,0
227,227,40.0767,-1.77820000008389,0
228,228,40.0767,-0.778200000086041,0
229,229,40.0767,0.221799999915973,0
230,230,40.0767,1.22179999991868,0
231,231,40.0767,2.22179999992139,0
232,232,40.0767,3.2217999999241,0
233,233,40.0767,4.22179999992682,0
234,234,40.0767,5.22179999992952,0
235,235,40.0767,6.22179999993224,0
236,236,40.0767,7.22179999993494,0
237,237,40.0767,8.22179999993766,0
238,238,40.0767,9.22179999994037,0
239,239,40.0767,10.2217999999431,0
240,240,40.0767,11.2217999999458,0
241,241,40.0767,12.2217999999485,0
242,242,40.0767,13.2217999999512,0
243,243,40.0767,14.2217999999539,0
244,244,40.0767,15.2217999999566,0
245,245,40.0767,16.2217999999593,0
246,246,40.0767,17.2217999999621,0
247,247,40.0767,18.2217999999648,0
248,248,40.0767,19.2217999999675,0
249,249,40.0767,20.2217999999702,0
250,250,40.0767,21.2217999999729,0
251,251,40.0767,22.2217999999756,0
252,252,40.0767,23.2217999999783,0
253,253,40.0767,24.221799999981,0
254,254,40.0767,25.2217999999837,0
255,255,40.0767,26.2217999999865,0
256,256,40.0767,27.2217999999892,0
257,257,40.0767,28.2217999999919,0
258,258,40.0767,29.2217999999946,0
259,259,40.0767,30.2217999999973,0
260,260,-24.9233,-32.7782,0
261,261,-25.9233,-32.7782,0
262,262,-26.9233,-32.7782,0
263,263,-27.9233,-31.7781999999987,0
264,264,-27.9233,-30.7782000000015,0
265,265,-27.9233,-29.7782000000044,0
266,266,-27.9233,-28.7782000000072,0
267,267,-27.9233,-27.77820000001,0
268,268,-27.9233,-26.7782000000129,0
269,269,-27.9233,-25.7782000000157,0
270,270,-27.9233,-24.7782000000186,0
271,271,-27.9233,-23.7782000000214,0
272,272,-27.9233,-22.7782000000243,0
273,273,-27.9233,-21.7782000000271,0
274,274,-27.9233,-20.7782000000299,0
